City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.79,-50.01,59.95,77,0,3.09,BR,2020-08-29 21:36
mataura,-46.19,168.86,58.84,54,85,12.71,NZ,2020-08-29 21:36
vaini,-21.2,-175.2,80.6,78,40,10.29,TO,2020-08-29 21:36
hobart,-42.88,147.33,69.8,32,40,31.09,AU,2020-08-29 21:36
busselton,-33.65,115.33,57.0,67,59,5.99,AU,2020-08-29 21:36
gat,31.61,34.76,81.0,83,0,0.25,IL,2020-08-29 21:36
kaitangata,-46.28,169.85,62.01,48,52,17.0,NZ,2020-08-29 21:36
rikitea,-23.12,-134.97,70.12,76,10,7.45,PF,2020-08-29 21:36
mount gambier,-37.83,140.77,53.6,87,75,19.46,AU,2020-08-29 21:36
albany,42.6,-73.97,68.0,93,18,1.01,US,2020-08-29 21:36
hermanus,-34.42,19.23,39.0,93,11,1.01,ZA,2020-08-29 21:36
la palma,33.85,-118.05,75.2,57,1,4.7,US,2020-08-29 21:34
tiksi,71.69,128.87,46.42,74,9,8.88,RU,2020-08-29 21:36
souillac,-20.52,57.52,69.8,73,40,14.99,MU,2020-08-29 21:36
pacific grove,36.62,-121.92,60.01,93,75,3.4,US,2020-08-29 21:36
bredasdorp,-34.53,20.04,41.0,86,9,9.17,ZA,2020-08-29 21:36
dikson,73.51,80.55,41.61,95,100,20.67,RU,2020-08-29 21:36
georgetown,5.41,100.34,86.0,79,20,3.87,MY,2020-08-29 21:36
kapaa,22.08,-159.32,82.4,74,1,14.99,US,2020-08-29 21:36
lorengau,-2.02,147.27,85.64,70,99,11.81,PG,2020-08-29 21:36
leh,34.17,77.58,57.36,36,1,6.22,IN,2020-08-29 21:33
marzuq,14.4,46.47,80.17,51,0,4.07,YE,2020-08-29 21:36
arraial do cabo,-22.97,-42.03,71.87,87,0,26.49,BR,2020-08-29 21:36
prieska,-29.66,22.75,31.14,94,0,3.83,ZA,2020-08-29 21:36
khani,41.96,42.96,60.8,93,0,2.24,GE,2020-08-29 21:36
huanren,41.26,125.37,83.75,56,77,2.17,CN,2020-08-29 21:36
road town,18.42,-64.62,84.0,88,3,5.99,VG,2020-08-29 21:34
tikhvin,59.65,33.53,51.01,93,100,4.03,RU,2020-08-29 21:36
ushuaia,-54.8,-68.3,32.0,91,90,20.8,AR,2020-08-29 21:34
jamestown,42.1,-79.24,62.6,77,75,8.05,US,2020-08-29 21:34
bambous virieux,-20.34,57.76,70.0,73,40,14.99,MU,2020-08-29 21:36
atuona,-9.8,-139.03,79.02,78,10,21.0,PF,2020-08-29 21:36
bluff,-46.6,168.33,54.12,75,67,29.39,NZ,2020-08-29 21:36
vao,-22.67,167.48,66.99,69,25,18.57,NC,2020-08-29 21:36
norman wells,65.28,-126.83,57.2,48,20,6.93,CA,2020-08-29 21:36
east london,-33.02,27.91,51.71,60,28,19.01,ZA,2020-08-29 21:36
tura,25.52,90.22,80.31,86,100,5.21,IN,2020-08-29 21:36
el jicaro,14.92,-89.9,75.69,72,98,1.21,GT,2020-08-29 21:36
villa maria,-32.41,-63.24,46.99,63,38,1.99,AR,2020-08-29 21:36
thompson,55.74,-97.86,53.6,81,75,4.7,CA,2020-08-29 21:36
mahebourg,-20.41,57.7,69.8,73,40,14.99,MU,2020-08-29 21:36
erzin,36.96,36.2,77.0,89,0,2.53,TR,2020-08-29 21:36
faya,18.39,42.45,68.0,45,20,6.82,SA,2020-08-29 21:36
jiaocheng,24.68,116.14,89.74,62,60,1.86,CN,2020-08-29 21:36
san patricio,19.22,-104.7,78.87,86,100,9.08,MX,2020-08-29 21:36
chicama,-7.84,-79.15,60.66,86,56,5.39,PE,2020-08-29 21:36
carnarvon,-24.87,113.63,75.2,29,0,12.75,AU,2020-08-29 21:36
kodiak,57.79,-152.41,53.6,93,90,20.8,US,2020-08-29 21:36
changde,29.05,111.68,88.0,56,0,4.0,CN,2020-08-29 21:36
south valley,35.01,-106.68,78.01,38,75,27.51,US,2020-08-29 21:36
kapit,2.02,112.93,87.33,66,77,1.99,MY,2020-08-29 21:36
avarua,-21.21,-159.78,77.0,69,34,18.34,CK,2020-08-29 21:36
port-gentil,-0.72,8.78,74.95,87,93,13.24,GA,2020-08-29 21:36
port alfred,-33.59,26.89,49.98,60,12,21.09,ZA,2020-08-29 21:36
yellowknife,62.46,-114.35,46.99,81,75,18.34,CA,2020-08-29 21:36
nazas,25.23,-104.13,81.23,42,100,4.05,MX,2020-08-29 21:36
sicamous,50.83,-118.99,64.4,45,75,5.82,CA,2020-08-29 21:36
fort nelson,58.81,-122.7,53.6,58,75,3.36,CA,2020-08-29 21:36
tagusao,9.19,117.81,86.76,66,100,6.02,PH,2020-08-29 21:36
katsuura,35.13,140.3,93.99,62,75,4.7,JP,2020-08-29 21:36
cape town,-33.93,18.42,39.2,93,75,2.24,ZA,2020-08-29 21:34
flin flon,54.77,-101.86,58.37,79,100,17.16,CA,2020-08-29 21:36
saint-philippe,-21.36,55.77,64.4,77,62,5.82,RE,2020-08-29 21:36
ouadda,8.08,22.4,66.97,94,98,2.1,CF,2020-08-29 21:36
tasiilaq,65.61,-37.64,41.0,75,100,2.24,GL,2020-08-29 21:36
nikolskoye,59.7,30.79,53.6,87,75,11.18,RU,2020-08-29 21:36
mar del plata,-38.0,-57.56,44.01,64,75,4.7,AR,2020-08-29 21:36
ladario,-19.0,-57.6,77.99,20,0,1.23,BR,2020-08-29 21:36
tougan,13.07,-3.07,74.57,90,100,11.27,BF,2020-08-29 21:36
saldanha,-33.01,17.94,35.6,64,15,1.12,ZA,2020-08-29 21:36
erenhot,43.65,111.98,61.75,83,100,16.35,CN,2020-08-29 21:36
mendota,36.75,-120.38,91.4,29,1,8.05,US,2020-08-29 21:36
abong mbang,3.98,13.18,66.65,98,100,2.82,CM,2020-08-29 21:36
phan thiet,10.93,108.1,88.27,64,4,9.46,VN,2020-08-29 21:34
guatire,10.48,-66.54,71.82,85,59,1.7,VE,2020-08-29 21:36
khatanga,71.97,102.5,57.22,57,90,11.07,RU,2020-08-29 21:36
punta arenas,-53.15,-70.92,37.4,80,71,17.22,CL,2020-08-29 21:36
suntar,62.14,117.63,65.44,63,100,4.59,RU,2020-08-29 21:36
talcahuano,-36.72,-73.12,44.6,70,0,3.36,CL,2020-08-29 21:36
matagami,49.75,-77.63,53.6,93,90,4.27,CA,2020-08-29 21:36
prainha,-1.8,-53.48,78.26,71,39,5.19,BR,2020-08-29 21:36
ternate,0.8,127.4,83.01,72,96,3.6,ID,2020-08-29 21:36
iqaluit,63.75,-68.51,51.8,66,75,11.41,CA,2020-08-29 21:36
provideniya,64.38,-173.3,53.4,62,63,9.48,RU,2020-08-29 21:36
lomme,50.64,2.99,59.0,93,20,6.93,FR,2020-08-29 21:36
campbell river,50.02,-125.24,64.4,42,20,19.46,CA,2020-08-29 21:36
yenagoa,4.92,6.26,73.81,92,98,1.74,NG,2020-08-29 21:36
san juan de los morros,9.91,-67.35,68.7,93,2,3.71,VE,2020-08-29 21:36
kargasok,59.06,80.86,60.01,86,43,5.66,RU,2020-08-29 21:36
klaksvik,62.23,-6.59,41.0,93,58,1.12,FO,2020-08-29 21:36
nanortalik,60.14,-45.24,48.69,75,88,6.51,GL,2020-08-29 21:37
beidao,34.57,105.89,59.99,82,100,7.25,CN,2020-08-29 21:37
hasaki,35.73,140.83,97.0,63,40,8.05,JP,2020-08-29 21:37
kavieng,-2.57,150.8,85.86,67,30,12.68,PG,2020-08-29 21:37
dharchula,29.85,80.53,73.94,71,37,3.58,IN,2020-08-29 21:37
owando,-0.48,15.9,70.41,95,100,2.91,CG,2020-08-29 21:37
kozhva,65.11,57.05,50.2,87,100,2.57,RU,2020-08-29 21:37
havre-saint-pierre,50.23,-63.6,48.2,87,90,4.7,CA,2020-08-29 21:37
tuktoyaktuk,69.45,-133.04,42.8,87,20,11.41,CA,2020-08-29 21:37
constitucion,-35.33,-72.42,44.67,64,0,11.14,CL,2020-08-29 21:37
cabo san lucas,22.89,-109.91,80.01,94,90,3.36,MX,2020-08-29 21:37
fuzhou,26.06,119.31,89.6,70,40,17.9,CN,2020-08-29 21:37
pevek,69.7,170.31,39.09,83,100,6.89,RU,2020-08-29 21:37
novobiryusinskiy,56.96,97.71,64.11,64,0,4.61,RU,2020-08-29 21:37
kholtoson,50.3,103.31,60.82,64,33,2.06,RU,2020-08-29 21:37
lebu,-37.62,-73.65,43.7,78,0,12.93,CL,2020-08-29 21:37
olafsvik,64.89,-23.71,52.12,89,100,14.47,IS,2020-08-29 21:37
tornio,65.85,24.15,42.8,93,60,6.93,FI,2020-08-29 21:37
bennettsville,34.62,-79.68,81.0,94,1,3.36,US,2020-08-29 21:37
inirida,3.87,-67.92,72.97,98,91,1.43,CO,2020-08-29 21:37
airai,-8.93,125.41,74.93,43,86,4.92,TL,2020-08-29 21:37
butaritari,3.07,172.79,84.0,69,38,11.5,KI,2020-08-29 21:37
tezu,27.92,96.17,74.95,86,100,2.68,IN,2020-08-29 21:37
boyuibe,-20.42,-63.28,74.37,40,0,8.68,BO,2020-08-29 21:37
edd,13.93,41.69,91.38,58,68,1.1,ER,2020-08-29 21:37
narsaq,60.92,-46.05,60.8,31,77,24.16,GL,2020-08-29 21:37
cherskiy,68.75,161.3,44.17,79,100,8.1,RU,2020-08-29 21:37
aitape,-3.14,142.35,86.16,58,22,6.51,PG,2020-08-29 21:37
severo-kurilsk,50.68,156.12,52.95,78,47,10.94,RU,2020-08-29 21:37
saskylakh,71.92,114.08,60.94,41,100,5.61,RU,2020-08-29 21:37
port macquarie,-31.43,152.92,73.0,52,0,3.0,AU,2020-08-29 21:33
pueblo nuevo,23.38,-105.38,63.01,100,92,0.58,MX,2020-08-29 21:37
qaanaaq,77.48,-69.36,30.81,81,0,4.41,GL,2020-08-29 21:37
hovd,48.01,91.64,56.52,49,54,2.68,MN,2020-08-29 21:37
nelson bay,-32.72,152.15,71.6,43,0,9.17,AU,2020-08-29 21:37
port elizabeth,-33.92,25.57,46.4,87,90,16.11,ZA,2020-08-29 21:37
menongue,-14.66,17.69,58.96,46,52,4.12,AO,2020-08-29 21:37
longyearbyen,78.22,15.64,41.0,88,40,21.92,SJ,2020-08-29 21:37
cravo norte,6.3,-70.2,77.25,85,90,4.32,CO,2020-08-29 21:37
hithadhoo,-0.6,73.08,82.67,73,33,9.89,MV,2020-08-29 21:37
new norfolk,-42.78,147.06,66.99,53,68,3.0,AU,2020-08-29 21:37
meulaboh,4.14,96.13,83.97,72,100,1.66,ID,2020-08-29 21:37
leiyang,26.4,112.86,89.62,49,0,4.5,CN,2020-08-29 21:37
gao,16.64,1.64,78.3,78,98,9.86,ML,2020-08-29 21:37
sabang,5.89,95.32,83.62,73,100,8.14,ID,2020-08-29 21:37
puerto ayora,-0.74,-90.35,65.39,85,97,11.1,EC,2020-08-29 21:37
champerico,14.3,-91.92,66.0,93,100,4.85,GT,2020-08-29 21:37
jijiga,9.35,42.8,63.54,76,100,15.05,ET,2020-08-29 21:37
manuk mangkaw,4.8,119.85,84.36,67,100,3.33,PH,2020-08-29 21:37
christchurch,-43.53,172.63,71.6,28,17,18.34,NZ,2020-08-29 21:35
lavrentiya,65.58,-171.0,50.76,66,0,10.83,RU,2020-08-29 21:37
gwembe,-16.5,27.61,63.91,32,0,4.07,ZM,2020-08-29 21:37
ahipara,-35.17,173.17,61.12,64,0,7.52,NZ,2020-08-29 21:37
pontal do parana,-25.65,-48.51,62.6,77,0,4.7,BR,2020-08-29 21:37
mildura,-34.2,142.15,73.99,25,58,12.75,AU,2020-08-29 21:34
rawson,-43.3,-65.1,44.92,57,0,18.43,AR,2020-08-29 21:37
maceio,-9.67,-35.74,71.6,94,20,2.24,BR,2020-08-29 21:37
shebunino,46.43,141.86,62.67,54,98,15.35,RU,2020-08-29 21:37
ancud,-41.87,-73.82,39.0,96,64,8.01,CL,2020-08-29 21:37
upington,-28.45,21.26,35.6,80,0,1.12,ZA,2020-08-29 21:37
bridlington,54.08,-0.19,53.6,76,100,6.93,GB,2020-08-29 21:37
new glasgow,45.58,-62.65,61.0,95,100,1.01,CA,2020-08-29 21:35
barrow,71.29,-156.79,37.4,74,90,17.22,US,2020-08-29 21:37
kharan,28.58,65.42,79.14,17,0,5.7,PK,2020-08-29 21:37
hilo,19.73,-155.09,82.4,58,75,10.29,US,2020-08-29 21:37
flinders,-34.58,150.86,73.0,51,0,7.0,AU,2020-08-29 21:37
nacala,-14.54,40.67,70.32,90,8,4.52,MZ,2020-08-29 21:37
kabinda,-6.13,24.48,70.43,86,94,5.91,CD,2020-08-29 21:37
pangoa,-12.12,-73.0,72.34,67,21,2.33,PE,2020-08-29 21:37
yar-sale,66.83,70.83,46.4,70,13,7.96,RU,2020-08-29 21:33
ust-omchug,61.15,149.63,49.59,48,4,5.7,RU,2020-08-29 21:37
suzaka,36.65,138.32,90.0,62,17,1.99,JP,2020-08-29 21:37
marystown,47.17,-55.15,55.99,100,100,8.37,CA,2020-08-29 21:37
yaan,7.38,8.57,71.06,97,100,4.74,NG,2020-08-29 21:37
kaeo,-35.1,173.78,63.09,56,0,5.64,NZ,2020-08-29 21:37
riyadh,24.69,46.72,80.6,21,92,5.82,SA,2020-08-29 21:37
hambantota,6.12,81.12,82.4,83,75,5.82,LK,2020-08-29 21:37
margate,51.38,1.39,61.0,89,100,8.99,GB,2020-08-29 21:33
beringovskiy,63.05,179.32,47.16,82,100,22.77,RU,2020-08-29 21:37
hervey bay,-25.3,152.85,75.99,46,75,18.34,AU,2020-08-29 21:37
tual,-5.67,132.75,79.25,84,96,21.14,ID,2020-08-29 21:37
plessisville,46.22,-71.76,57.0,97,100,4.0,CA,2020-08-29 21:37
liwale,-9.77,37.93,62.04,96,17,2.08,TZ,2020-08-29 21:37
leonidovo,49.28,142.87,61.88,55,92,6.55,RU,2020-08-29 21:37
gamba,-2.65,10.0,73.08,89,100,5.95,GA,2020-08-29 21:37
faanui,-16.48,-151.75,78.13,76,0,23.82,PF,2020-08-29 21:37
ambilobe,-13.2,49.05,61.77,85,90,3.13,MG,2020-08-29 21:37
minab,27.15,57.08,86.0,70,0,2.35,IR,2020-08-29 21:37
mitu,1.2,-70.17,70.77,98,100,3.36,CO,2020-08-29 21:33
murray bridge,-35.12,139.27,57.99,75,83,13.0,AU,2020-08-29 21:37
nouadhibou,20.93,-17.03,73.4,83,0,20.8,MR,2020-08-29 21:37
imatra,61.17,28.75,54.0,100,90,5.82,FI,2020-08-29 21:37
asti,44.9,8.21,66.99,94,98,1.01,IT,2020-08-29 21:37
atar,20.52,-13.05,88.3,25,10,2.77,MR,2020-08-29 21:37
ubinskoye,55.31,79.68,62.2,82,0,6.17,RU,2020-08-29 21:37
vostok,46.49,135.88,50.22,87,100,5.28,RU,2020-08-29 21:37
clyde river,70.47,-68.59,42.8,93,1,0.2,CA,2020-08-29 21:37
chokurdakh,70.63,147.92,43.48,77,97,4.18,RU,2020-08-29 21:37
bintulu,3.17,113.03,86.0,79,40,4.7,MY,2020-08-29 21:37
saint-augustin,51.23,-58.65,53.67,64,100,5.77,CA,2020-08-29 21:37
sitka,57.05,-135.33,57.2,82,75,5.82,US,2020-08-29 21:37
mayumba,-3.43,10.66,72.99,88,100,6.42,GA,2020-08-29 21:37
valdivia,-39.81,-73.25,33.8,100,0,3.36,CL,2020-08-29 21:37
naryan-mar,67.67,53.09,42.78,77,99,11.79,RU,2020-08-29 21:33
puerto escondido,15.85,-97.07,80.29,76,100,2.01,MX,2020-08-29 21:37
ploemeur,47.73,-3.43,51.8,87,0,5.82,FR,2020-08-29 21:37
male,4.17,73.51,84.2,74,75,3.36,MV,2020-08-29 21:37
qaqortoq,60.72,-46.03,60.8,31,82,24.16,GL,2020-08-29 21:37
bireun,5.2,96.7,85.42,63,99,2.66,ID,2020-08-29 21:37
zhigansk,66.77,123.37,53.82,76,100,8.55,RU,2020-08-29 21:37
tuatapere,-46.13,167.68,57.79,60,63,12.01,NZ,2020-08-29 21:37
kruisfontein,-34.0,24.73,45.0,67,47,3.0,ZA,2020-08-29 21:37
carbonia,39.17,8.52,78.01,64,20,5.82,IT,2020-08-29 21:37
boguchany,58.38,97.45,64.62,57,47,4.97,RU,2020-08-29 21:37
launceston,-41.45,147.17,57.2,62,35,26.4,AU,2020-08-29 21:37
aswan,24.09,32.91,80.1,26,0,6.62,EG,2020-08-29 21:37
tecoanapa,16.52,-98.75,78.64,81,100,1.72,MX,2020-08-29 21:37
bud,39.45,-86.18,71.01,73,1,6.71,US,2020-08-29 21:37
victoria,22.29,114.16,89.01,59,35,4.0,HK,2020-08-29 21:37
soe,-9.86,124.28,81.52,34,67,10.54,ID,2020-08-29 21:37
richards bay,-28.78,32.04,64.8,66,99,11.5,ZA,2020-08-29 21:37
mayo,38.89,-76.51,79.0,94,1,5.82,US,2020-08-29 21:37
zyryanka,65.75,150.85,55.04,44,0,3.15,RU,2020-08-29 21:37
korla,41.76,86.15,74.16,27,2,6.29,CN,2020-08-29 21:37
lata,40.16,-8.33,60.01,81,0,3.58,PT,2020-08-29 21:37
syracuse,37.09,15.28,78.01,88,0,5.82,IT,2020-08-29 21:37
goirle,51.52,5.05,54.0,100,16,2.24,NL,2020-08-29 21:37
sovetskiy,61.36,63.58,55.71,94,99,5.91,RU,2020-08-29 21:37
sur,22.57,59.53,86.74,59,37,2.06,OM,2020-08-29 21:37
iberia,29.95,-91.75,80.6,100,1,4.7,US,2020-08-29 21:37
seguin,29.57,-97.96,93.99,41,1,12.75,US,2020-08-29 21:37
mogadishu,2.04,45.34,77.4,83,34,14.34,SO,2020-08-29 21:32
saint george,37.1,-113.58,95.0,17,1,14.99,US,2020-08-29 21:37
comodoro rivadavia,-45.87,-67.5,44.6,48,94,28.86,AR,2020-08-29 21:37
pittsburg,38.03,-121.88,77.0,56,1,12.75,US,2020-08-29 21:34
los llanos de aridane,28.66,-17.92,73.4,69,75,18.34,ES,2020-08-29 21:37
codrington,-38.27,141.97,56.28,75,100,17.31,AU,2020-08-29 21:37
talnakh,69.49,88.4,46.4,100,90,2.24,RU,2020-08-29 21:37
caravelas,-17.71,-39.25,71.46,90,0,3.96,BR,2020-08-29 21:37
waddan,29.16,16.14,75.78,50,0,10.98,LY,2020-08-29 21:37
padang,-0.95,100.35,86.16,60,100,3.58,ID,2020-08-29 21:37
trincomalee,8.57,81.23,84.02,68,100,15.75,LK,2020-08-29 21:37
caibarien,22.52,-79.47,80.6,88,20,4.7,CU,2020-08-29 21:37
barcelos,41.54,-8.62,59.0,82,0,10.29,PT,2020-08-29 21:35
khandbari,27.37,87.2,79.93,66,42,1.72,NP,2020-08-29 21:37
conceicao da barra,-18.59,-39.73,71.4,92,0,4.16,BR,2020-08-29 21:37
amazar,53.86,120.88,59.7,56,100,4.16,RU,2020-08-29 21:37
mazatlan,23.22,-106.42,84.0,83,75,9.17,MX,2020-08-29 21:33
sao filipe,14.9,-24.5,78.76,84,76,8.9,CV,2020-08-29 21:37
ponta do sol,32.67,-17.1,71.6,53,40,14.99,PT,2020-08-29 21:37
fortuna,40.6,-124.16,59.0,76,1,9.17,US,2020-08-29 21:33
araouane,18.9,-3.53,85.64,53,32,13.58,ML,2020-08-29 21:37
praia da vitoria,38.73,-27.07,73.4,94,40,6.93,PT,2020-08-29 21:37
cockburn town,21.46,-71.14,82.26,80,0,15.12,TC,2020-08-29 21:37
broome,42.25,-75.83,66.2,68,75,20.8,US,2020-08-29 21:37
shirokiy,49.76,129.52,53.28,92,100,11.83,RU,2020-08-29 21:37
muros,42.78,-9.06,52.0,91,6,11.23,ES,2020-08-29 21:37
lompoc,34.64,-120.46,60.8,82,1,10.29,US,2020-08-29 21:37
chuy,-33.7,-53.46,50.58,84,85,11.65,UY,2020-08-29 21:37
upernavik,72.79,-56.15,40.05,74,0,3.0,GL,2020-08-29 21:37
kautokeino,69.01,23.04,38.46,89,12,7.31,NO,2020-08-29 21:37
brae,60.4,-1.35,44.6,81,100,6.93,GB,2020-08-29 21:37
aquiraz,-3.9,-38.39,78.8,78,20,19.46,BR,2020-08-29 21:37
sisimiut,66.94,-53.67,45.73,88,100,0.96,GL,2020-08-29 21:37
tahoua,14.89,5.27,78.8,88,20,4.7,NE,2020-08-29 21:37
belmonte,-15.86,-38.88,71.6,88,40,1.12,BR,2020-08-29 21:37
geraldton,-28.77,114.6,62.6,51,0,12.75,AU,2020-08-29 21:37
vardo,70.37,31.11,50.27,79,47,11.9,NO,2020-08-29 21:37
yulara,-25.24,130.99,75.2,22,0,10.29,AU,2020-08-29 21:37
abu dhabi,24.47,54.37,93.2,71,63,6.93,AE,2020-08-29 21:37
la ronge,55.1,-105.28,57.2,93,90,12.75,CA,2020-08-29 21:37
dudinka,69.41,86.18,46.4,100,90,2.24,RU,2020-08-29 21:37
baruun-urt,46.68,113.28,51.89,94,100,14.2,MN,2020-08-29 21:37
lagoa,39.05,-27.98,73.81,95,69,8.86,PT,2020-08-29 21:37
kaseda,31.42,130.32,87.8,66,20,6.93,JP,2020-08-29 21:37
charters towers,-20.1,146.27,74.34,51,76,16.04,AU,2020-08-29 21:37
ulladulla,-35.35,150.47,75.2,25,0,18.34,AU,2020-08-29 21:37
saint-pierre,-21.34,55.48,64.4,77,37,5.82,RE,2020-08-29 21:37
vila franca do campo,37.72,-25.43,73.4,83,75,9.17,PT,2020-08-29 21:37
paamiut,61.99,-49.67,48.31,58,43,9.15,GL,2020-08-29 21:37
